Cited paper title,Cited paper eid,Citing paper title,Citing paper eid,Cited paper link,Citing paper link
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,Frequency-based Randomization for Guaranteeing Differential Privacy in Spatial Trajectories,2-s2.0-85136425113,https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85136425113&origin=resultslist
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,Frequency-based Randomization for Guaranteeing Differential Privacy in Spatial Trajectories,2-s2.0-85136425113,https://www.scopus.com/record/display.uri?eid=2-s2.0-85096846619&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85136425113&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,Generation of Synthetic Trajectory Microdata from Language Models,2-s2.0-85138804472,https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85138804472&origin=resultslist
A-BI<sup>+</sup>: A framework for Augmented Business Intelligence,2-s2.0-85082441558,Suggesting assess queries for interactive analysis of multidimensional data,2-s2.0-85129353199,https://www.scopus.com/record/display.uri?eid=2-s2.0-85082441558&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85129353199&origin=resultslist
Assess queries for interactive analysis of data cubes,2-s2.0-85113712544,Suggesting assess queries for interactive analysis of multidimensional data,2-s2.0-85129353199,https://www.scopus.com/record/display.uri?eid=2-s2.0-85113712544&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85129353199&origin=resultslist
COOL: A framework for conversational OLAP,2-s2.0-85103428030,Suggesting assess queries for interactive analysis of multidimensional data,2-s2.0-85129353199,https://www.scopus.com/record/display.uri?eid=2-s2.0-85103428030&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85129353199&origin=resultslist
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,Suggesting assess queries for interactive analysis of multidimensional data,2-s2.0-85129353199,https://www.scopus.com/record/display.uri?eid=2-s2.0-85107683405&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85129353199&origin=resultslist
The Tell-Tale Cube,2-s2.0-85090100247,Suggesting assess queries for interactive analysis of multidimensional data,2-s2.0-85129353199,https://www.scopus.com/record/display.uri?eid=2-s2.0-85090100247&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85129353199&origin=resultslist
Supporting the generation of data narratives,2-s2.0-85095734112,A data narrative about tuberculosis pandemic in Gabon,2-s2.0-85130756836,https://www.scopus.com/record/display.uri?eid=2-s2.0-85095734112&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85130756836&origin=resultslist
Towards a Conceptual Model for Data Narratives,2-s2.0-85097380415,A data narrative about tuberculosis pandemic in Gabon,2-s2.0-85130756836,https://www.scopus.com/record/display.uri?eid=2-s2.0-85097380415&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85130756836&origin=resultslist
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,On merging hidden Markov models with deformable templates,2-s2.0-0029530383,https://www.scopus.com/record/display.uri?eid=2-s2.0-85035209468&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-0029530383&origin=resultslist
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,Mutual Distillation Learning Network for Trajectory-User Linking,2-s2.0-85137872696,https://www.scopus.com/record/display.uri?eid=2-s2.0-85096846619&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85137872696&origin=resultslist
