Paper title,Citing paper title
Augmented Business Intelligence.,HAMLET: A framework for Human-centered AutoML via Structured Argumentation
Augmented Business Intelligence.,COOL: A framework for conversational OLAP
Augmented Business Intelligence.,A-BI+: a framework for Augmented Business Intelligence
Augmented Business Intelligence.,mRAT-SQL+ GAP: a Portuguese text-to-SQL transformer
Augmented Business Intelligence.,Towards conversational OLAP
Augmented Business Intelligence.,Conversational OLAP
Augmented Business Intelligence.,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
Augmented Business Intelligence.,PROGETTAZIONE E PROTOTIPAZIONE DI UN FRAMEWORK PER CONVERSATIONAL OLAP
Streaming Approach to Schema Profiling,Dynamic Stream Clustering for Real-Time Schema Profiling with Dsc+
Smart irrigation system for precision water management: effect on yield and fruit quality of yellow fleshed kiwifruit in northern Italy,Towards a Process-Driven Design of Data Platforms.
Smart irrigation system for precision water management: effect on yield and fruit quality of yellow fleshed kiwifruit in northern Italy,Corso di Laurea in
Dynamic Stream Clustering for Real-Time Schema Profiling with Dsc+,DynamicCluStream: An algorithm Based on CluStream to Improve Clustering Quality
Supporting the Generation of Data Narratives,Computational understanding of narratives: A survey
Supporting the Generation of Data Narratives,Enhancing cubes with models to describe multidimensional data
Supporting the Generation of Data Narratives,Fabula: Intelligence report generation using retrieval-augmented narrative construction
Supporting the Generation of Data Narratives,On the design of an interactive automatic Python programming skills assessment system
Supporting the Generation of Data Narratives,Computational narratives using model-driven engineering
Supporting the Generation of Data Narratives,A data narrative about tuberculosis pandemic in Gabon.
Supporting the Generation of Data Narratives,A framework for crafting data narratives
Supporting the Generation of Data Narratives,"Leveraging users' behavior, intentions and interests for enhancing Exploratory Data Analysis and Data Narration"
Supporting the Generation of Data Narratives,Un modèle conceptual de narration de données
Supporting the Generation of Data Narratives,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
Supporting the Generation of Data Narratives,Modéliser la démarche du data journaliste
Assess queries for interactive analysis of data cubes,Enhancing cubes with models to describe multidimensional data
Assess queries for interactive analysis of data cubes,Automatic generation of comparison notebooks for interactive data exploration
Assess queries for interactive analysis of data cubes,Explaining cube measures through Intentional Analytics
Assess queries for interactive analysis of data cubes,The whys and wherefores of cubes
Assess queries for interactive analysis of data cubes,Personalization of OLAP queries for hierarchical visualization under constraints
Assess queries for interactive analysis of data cubes,Insight-based vocalization of OLAP sessions
Assess queries for interactive analysis of data cubes,Suggesting assess queries for interactive analysis of multidimensional data
Assess queries for interactive analysis of data cubes,"Data Science Tasks Implemented with Scripts versus GUI-Based Workflows: The Good, the Bad, and the Ugly"
Assess queries for interactive analysis of data cubes,Personalized OLAP queries under Hierarchical Visualization Constraint
Assess queries for interactive analysis of data cubes,A Personalized Multidimensional Navigation in a Limited Visualization Context
Assess queries for interactive analysis of data cubes,Describing Multidimensional Data Through Highlights
Assess queries for interactive analysis of data cubes,A framework for crafting data narratives
Assess queries for interactive analysis of data cubes,Describing and Assessing Cubes Through Intentional Analytics
Assess queries for interactive analysis of data cubes,Optimisation and interactive data analysis: the Traveling Analyst Problem
Assess queries for interactive analysis of data cubes,Using Regression to Explain Cube Measures.
Assess queries for interactive analysis of data cubes,Optimisation et analyse interactive de données: le Problème du Voyageur de Données
Assess queries for interactive analysis of data cubes,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
Assess queries for interactive analysis of data cubes,". and Stefano Rizzi () D ID DISI-University of Bologna, Bologna, Italy {m. francia, enrico. gallinucci, matteo. golfarelli, stefano. rizzi}@ unibo. it"
Crop management with the iot: An interdisciplinary survey,AgriFusion: An architecture for IoT and emerging technologies based on a precision agriculture survey
Crop management with the iot: An interdisciplinary survey,Everything you wanted to know about smart agriculture
Crop management with the iot: An interdisciplinary survey,"Machine learning in precision agriculture: a survey on trends, applications and evaluations over two decades"
Crop management with the iot: An interdisciplinary survey,Laser weeding with small autonomous vehicles: Friends or foes?
Crop management with the iot: An interdisciplinary survey,A comprehensive study on smart agriculture applications in India
Crop management with the iot: An interdisciplinary survey,Prediction of pest insect appearance using sensors and machine learning
Crop management with the iot: An interdisciplinary survey,"Design and Implementation of a Framework for Smart Home Automation Based on Cellular IoT, MQTT, and Serverless Functions"
Crop management with the iot: An interdisciplinary survey,Fabrication and investigation of agricultural monitoring system with IoT & AI
Crop management with the iot: An interdisciplinary survey,A smart and mechanized agricultural application: From cultivation to harvest
Crop management with the iot: An interdisciplinary survey,Smart farming using cloud-based Iot data analytics
Crop management with the iot: An interdisciplinary survey,Multi-sensor profiling for precision soil-moisture monitoring
Crop management with the iot: An interdisciplinary survey,Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns
Crop management with the iot: An interdisciplinary survey,Is the rural population caught in the whirlwind of the digital divide?
Crop management with the iot: An interdisciplinary survey,A Scalable Device for Undisturbed Measurement of Water and CO2 Fluxes through Natural Surfaces
Crop management with the iot: An interdisciplinary survey,LambdAgrIoT: a new architecture for agricultural autonomous robots' scheduling: from design to experiments
Crop management with the iot: An interdisciplinary survey,Evaluation of different methods and models for grass cereals' production estimation: Case study in wheat
Crop management with the iot: An interdisciplinary survey,A path model of the intention to adopt variable rate irrigation in Northeast Italy
Crop management with the iot: An interdisciplinary survey,Generalization of deep learning models applied to semantic segmentation of in-field natural images in vineyards
Crop management with the iot: An interdisciplinary survey,Internet of Things (IoT) in Soil Management for Achieving Smart Agriculture
Crop management with the iot: An interdisciplinary survey,The adoption of the Internet of Things for smart agriculture in Zimbabwe
Crop management with the iot: An interdisciplinary survey,Machine Learning-Based Classification of Mango Pulp Weevil Activity Utilizing an Acoustic Sensor
Crop management with the iot: An interdisciplinary survey,An intelligent agro-cloud framework for efficient crop cultivation
Crop management with the iot: An interdisciplinary survey,An IoT-enabled energy-efficient approach for the detection of leaf curl disease in tomato crops
Crop management with the iot: An interdisciplinary survey,Augmented intelligent distributed sensing system model for precision agriculture
Crop management with the iot: An interdisciplinary survey,Analysis of the Chlorophyll and Carotenoids Content in Brassica Chinensis Plants Using IoT-Based Sprinkle Irrigation
Crop management with the iot: An interdisciplinary survey,AgroInfo DSF: A Smart Decision Support Framework for Precision Agriculture and Farming
Crop management with the iot: An interdisciplinary survey,Smart Agriculture: A Comprehensive and Analytical Survey
Crop management with the iot: An interdisciplinary survey,Recent advancements of Internet of Things in Precision Agriculture: A Review
Crop management with the iot: An interdisciplinary survey,IoT in farm productivity enhancement
Crop management with the iot: An interdisciplinary survey,Essentials of Internet of Things in Smart Agriculture: Design Principles and Architectures for Its Application in Various Domains and Use Cases
Crop management with the iot: An interdisciplinary survey,RAPESEED PRODUCTION ESTIMATION MODEL BASED ON REMOTE SENSING.
Crop management with the iot: An interdisciplinary survey,On Designing and Implementing Agro-ecology IoT Applications: Issues from Applied Research Projects
Crop management with the iot: An interdisciplinary survey,The importance of eco-innovative weed control using laser technology in creating sustainable agriculture in the European Union. Socio-economic perspective
Crop management with the iot: An interdisciplinary survey,Potential and Trends of IoT Application in Agriculture in Vietnam
Crop management with the iot: An interdisciplinary survey,Colossal Trajectory Mining
Crop management with the iot: An interdisciplinary survey,Deployment of IoT Sensors in the Revolution of Agriculture
Crop management with the iot: An interdisciplinary survey,Recent Advances in Agricultural Sciences and Technology
Crop management with the iot: An interdisciplinary survey,Multivariate Time Series Forecasting to Forecast Weight Dynamics
Crop management with the iot: An interdisciplinary survey,A model for automatized data integration in hadoop-based data lakes
Crop management with the iot: An interdisciplinary survey,Recent Advancements and Challenges in Deep Learning and Internet of Things for Precision Agriculture
Crop management with the iot: An interdisciplinary survey,Precision Farming and Protected Cultivation in Digital Era
Crop management with the iot: An interdisciplinary survey,INTEGRATION OF MACHINE LEARNING TECHNIQUES IN DETERMINING TOMATO RIPENESS: A LITERATURE REVIEW
Crop management with the iot: An interdisciplinary survey,Measurement of surface respiration: An IoT approach
Crop management with the iot: An interdisciplinary survey,THINGS FOR SMART AGRICULTURE IN DEVELOPING COUNTRIES
Crop management with the iot: An interdisciplinary survey,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
Crop management with the iot: An interdisciplinary survey,"A Path Model of the Intention to Adopt Variable Rate Irrigation in Northeast Italy. Sustainability 2021, 13, 1879"
Crop management with the iot: An interdisciplinary survey,P18-An IoT electronic fence for agri-robots
Crop management with the iot: An interdisciplinary survey,Persamaan linier Tinggi Bukaan Pintu Air Terhadap Kecepatan Aliran dengan Kedalaman Basah di saluran irigasi berbasis IoT Desa Sukoanyar
Crop management with the iot: An interdisciplinary survey,都市農業地域のスマート農業技術ニーズの評価 東京都内における比較分析
The whys and wherefores of cubes,Explaining cube measures through Intentional Analytics
The whys and wherefores of cubes,Using Regression to Explain Cube Measures.
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,Automated data processing and feature engineering for deep learning and big data applications: a survey
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,Interactive hyperparameter optimization in multi-objective problems via preference learning
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,AutoClues: Exploring Clustering Pipelines via AutoML and Diversification
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,Data Preprocessing Using AutoML: A Survey
Conversational OLAP in action,Conversational OLAP
Conversational OLAP in action,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
Conversational OLAP in action,Designing a Star Schema for Optimizing the Total Sales of Motorcycles
Suggesting assess queries for interactive analysis of multidimensional data,Explaining cube measures through Intentional Analytics
Suggesting assess queries for interactive analysis of multidimensional data,The whys and wherefores of cubes
Suggesting assess queries for interactive analysis of multidimensional data,"Leveraging users' behavior, intentions and interests for enhancing Exploratory Data Analysis and Data Narration"
The tell-tale cube,Enhancing cubes with models to describe multidimensional data
The tell-tale cube,Assess queries for interactive analysis of data cubes
The tell-tale cube,Supporting the generation of data narratives
The tell-tale cube,Suggesting assess queries for interactive analysis of multidimensional data
The tell-tale cube,A framework for crafting data narratives
