Paper title,Citing paper title
Crop Management with the IoT: An Interdisciplinary Survey,26
Towards a foundational API for resilient distributed systems design,14
Towards conversational OLAP,12
Towards a Conceptual Model for Data Narratives,12
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,11
Trajectory-Based Spatiotemporal Entity Linking,10
Making data platforms smarter with MOSES,10
Enhancing Cubes with Models to Describe Multidimensional Data,9
A-BI<sup>+</sup>: A framework for Augmented Business Intelligence,9
COOL: A framework for conversational OLAP,9
Assess queries for interactive analysis of data cubes,8
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",7
Augmented business intelligence,7
Multi-sensor profiling for precision soil-moisture monitoring,6
Summarization and visualization of multi-level and multi-dimensional itemsets,6
Supporting the generation of data narratives,5
Map-matching on big data: A distributed and efficient algorithm with a hidden Markov model,5
Optimizing Execution Plans in a Multistore,5
DART: De-Anonymization of personal gazetteers through social trajectories,5
The Tell-Tale Cube,4
Suggesting assess queries for interactive analysis of multidimensional data,1
A Similarity Function for Multi-Level and Multi-Dimensional Itemsets,1
OLAP Querying of Document Stores in the Presence of Schema Variety,1
Conversational OLAP in action,1
Insight-Based Vocalization of OLAP Sessions,1
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,0
Describing Multidimensional Data Through Highlights (Discussion Paper),0
Cost-based Optimization of Multistore Query Plans,0
Conversational OLAP,0
